Frequency(Hz)	RCS(m²)
10000000.0	1.3282036942150902e-11
50060120.24048096	8.340252388281608e-09
90120240.48096192	8.757441413138399e-08
130180360.72144288	3.81131934665021e-07
170240480.96192384	1.113986178594385e-06
210300601.2024048	2.592118721303546e-06
250360721.44288576	5.201770157904022e-06
290420841.6833667	9.408484859353075e-06
330480961.9238477	1.5755935181169426e-05
370541082.16432863	2.486449705067083e-05
410601202.4048096	3.74295293925896e-05
450661322.64529055	5.421928361860945e-05
490721442.8857715	7.607233563752678e-05
530781563.1262525	0.00010389439095916246
570841683.3667334	0.0001386542631826205
610901803.6072145	0.00018137876765336744
650961923.8476954	0.00023314620621197295
691022044.0881763	0.0002950780476184048
731082164.3286573	0.00036832833471979974
771142284.5691383	0.00045407027896461366
811202404.8096192	0.0005534794431847373
851262525.0501001	0.0006677128755002783
891322645.2905811	0.0007978835551791928
931382765.5310621	0.0009450295635670286
971442885.771543	0.0011100775215832008
1011503006.0120239	0.0012938000638977514
1051563126.252505	0.0014967674727544321
1091623246.492986	0.001719294091148511
1131683366.7334669	0.001961380784835494
1171743486.9739478	0.0022226555159887266
1211803607.214429	0.0025023149910047117
1251863727.4549098	0.002799071277321772
1291923847.6953907	0.0031111081338307096
1331983967.9358716	0.0034360524113510606
1372044088.1763525	0.0037709660717074227
1412104208.4168336	0.004112363964196758
1452164328.6573145	0.004456261345237896
1492224448.8977954	0.0047982531784409085
1532284569.1382766	0.005133624590514874
1572344689.3787575	0.005457488726597419
1612404809.6192384	0.005764945042295332
1652464929.8597193	0.0060512482837797145
1692525050.1002002	0.006311976542056224
1732585170.3406813	0.006543186214444832
1772645290.5811622	0.006741542644482114
1812705410.821643	0.006904417549448783
1852765531.0621243	0.007029947729465789
1892825651.3026052	0.007117053445690081
1932885771.543086	0.007165418656859978
1972945891.783567	0.007175438479948
2013006012.0240479	0.007148141427136866
2053066132.264529	0.007085095019509573
2093126252.50501	0.006988303347015415
2133186372.7454908	0.006860104248434943
2173246492.985972	0.006703072319407365
2213306613.226453	0.0065199322260529385
2253366733.4669337	0.006313485067533174
2293426853.7074146	0.0060865489813139795
2333486973.9478955	0.005841913928657539
2373547094.1883764	0.0055823096737179076
2413607214.428858	0.005310385364363882
2453667334.6693387	0.0050286987913187335
2493727454.9098196	0.004739713284734375
2533787575.1503005	0.004445800242822221
2573847695.3907814	0.004149245421354597
2613907815.6312623	0.0038522573023452543
2653967935.871743	0.003556976073619481
2694028056.112224	0.003265481968066774
2734088176.352705	0.0029798019212378337
2774148296.5931864	0.00270191370483038
2814208416.8336673	0.0024337468826413074
2854268537.074148	0.0021771801187659796
2894328657.314629	0.0019340345503381304
2934388777.55511	0.0017060631236786293
2974448897.795591	0.0014949359864817504
3014509018.036072	0.0013022222301199771
3054569138.276553	0.001129368482495282
3094629258.517034	0.000977675056670362
3134689378.757515	0.000848270553802939
3174749498.997996	0.0007420859877619282
3214809619.2384768	0.0006598296284879966
3254869739.4789577	0.0006019638367214314
3294929859.7194386	0.000568685170955772
3334989979.9599195	0.0005599089790258812
3375050100.2004004	0.0005752595380017682
3415110220.4408817	0.0006140665805949294
3455170340.6813626	0.0006753687553977461
3495230460.9218435	0.0007579242305705731
3535290581.1623244	0.0008602282904368159
3575350701.4028053	0.0009805374195237203
3615410821.643286	0.0011168990468222821
3655470941.883767	0.001267185859402958
3695531062.1242485	0.0014291334081849203
3735591182.3647294	0.0016003796309479663
3775651302.6052103	0.0017785049111538479
3815711422.845691	0.0019610713698334924
3855771543.086172	0.002145660238508651
3895831663.326653	0.002329906365537487
3935891783.567134	0.0025115291454471905
3975951903.807615	0.002688359409612871
4016012024.0480957	0.002858362057880579
4056072144.288577	0.003019654428723771
4096132264.529058	0.003170520588946393
4136192384.769539	0.0033094218660703746
4176252505.01002	0.0034350040449246714
4216312625.2505007	0.0035461017057375308
4256372745.4909816	0.0036417401980991383
4296432865.7314625	0.0037211357291797712
4336492985.971944	0.0037836940021847396
4376553106.212424	0.003829007779085311
4416613226.452906	0.003856853666813155
4456673346.693386	0.0038671883443939653
4496733466.933867	0.0038601443652231788
4536793587.174349	0.003836025588361157
4576853707.414829	0.0037953022190970933
4616913827.655311	0.0037386053751727465
4656973947.895791	0.003666721043447044
4697034068.136272	0.0035805832543723574
4737094188.376753	0.003481266279900065
4777154308.617234	0.003369975655290439
4817214428.857716	0.003248037837174865
4857274549.098196	0.0031168883388855992
4897334669.338677	0.00297805822859755
4937394789.579158	0.0028331589344977315
4977454909.819639	0.0026838653714608847
5017515030.06012	0.00253189748219803
5057575150.300601	0.002379000368462624
5097635270.541081	0.0022269232699931637
5137695390.781563	0.0020773977254853046
5177755511.022044	0.001932115316083341
5217815631.262525	0.0017927054431111026
5257875751.503006	0.0016607136242404162
5297935871.743486	0.0015375808033411898
5337995991.983968	0.0014246241575643973
5378056112.224448	0.0013230198510001108
5418116232.46493	0.0012337881292958169
5458176352.70541	0.0011577810771092594
5498236472.945891	0.0010956732745595553
5538296593.186373	0.0010479554950851779
5578356713.426853	0.001014931490835495
5618416833.667335	0.0009967178183473006
5658476953.907815	0.0009932465717150509
5698537074.148296	0.0010042708168235422
5738597194.388777	0.0010293724614424183
5778657314.629258	0.0010679722538198902
5818717434.86974	0.0011193415773557071
5858777555.11022	0.0011826157003330003
5898837675.350701	0.0012568081459330956
5938897795.591182	0.0013408258665016993
5978957915.831663	0.0014334849344594224
6019018036.072144	0.0015335264973131378
6059078156.312625	0.0016396327828963773
6099138276.553106	0.0017504429804155622
6139198396.793587	0.0018645688606190455
6179258517.034068	0.0019806100323940877
6219318637.274549	0.0020971687617850066
6259378757.51503	0.0022128643017744363
6299438877.75551	0.0023263466966377175
6339498997.995992	0.0024363100331864515
6379559118.236472	0.002541505113093154
6419619238.4769535	0.0026407515164258094
6459679358.717435	0.0027329490175038718
6499739478.957915	0.0028170883014407588
6539799599.198397	0.002892260914656275
6579859719.438877	0.002957668366730171
6619919839.6793585	0.003012630285770885
6659979959.919839	0.003056591516508657
6700040080.16032	0.003089128041007609
6740100200.400801	0.0031099515974724657
6780160320.641282	0.00311891287410379
6820220440.881763	0.003116003163023404
6860280561.122244	0.0031013543742783945
6900340681.362725	0.0030752373317645084
6940400801.603206	0.0030380583010961365
6980460921.843687	0.0029903537330872023
7020521042.0841675	0.002932783244319379
7060581162.324649	0.0028661208966735607
7100641282.56513	0.002791244878883115
7140701402.805611	0.0027091257332172583
7180761523.046092	0.0026208133074184245
7220821643.286572	0.0025274226442338382
7260881763.527054	0.0024301190467882466
7300941883.767534	0.0023301025764835798
7341002004.008016	0.002228592250349046
7381062124.248497	0.0021268102065309545
7421122244.488977	0.002025966100103896
7461182364.729459	0.0019272419772382416
7501242484.969939	0.0018317778549830266
7541302605.210421	0.001740658207819412
7581362725.450901	0.0016548995321962446
7621422845.691382	0.001575439128048059
7661482965.931863	0.0015031252033645788
7701543086.172344	0.001438708375662323
7741603206.412826	0.0013828346139418035
7781663326.653306	0.0013360396373884695
7821723446.893787	0.001298744763399269
7861783567.134268	0.0012712541779034245
7901843687.374749	0.001253753585524256
7941903807.61523	0.0012463101857669637
7981963927.855711	0.0012488739137618658
8022024048.096191	0.0012612798796137435
8062084168.336673	0.0012832519384521797
8102144288.577154	0.0013144073231167767
8142204408.817635	0.0013542622722964926
8182264529.058116	0.0014022385881460404
8222324649.298596	0.0014576710582639503
8262384769.539078	0.0015198156768724633
8302444889.779558	0.0015878585986524613
8342505010.02004	0.0016609257556663567
8382565130.260521	0.0017380930630165948
8422625250.501001	0.0018183971323674445
8462685370.741483	0.0019008464043961011
8502745490.981963	0.0019844326019748176
8542805611.222445	0.0020681423958922637
8582865731.462925	0.0021509691647759815
8622925851.703405	0.0022319247212304895
8662985971.943888	0.0023100508677448505
8703046092.184368	0.0023844306393343098
8743106212.424849	0.0024541990858014504
8783166332.66533	0.0025185534454848914
8823226452.905811	0.0025767625648371196
8863286573.146292	0.0026281754244091102
8903346693.386772	0.002672228641912873
8943406813.627254	0.0027084528368885924
8983466933.867735	0.0027364777588342443
9023527054.108215	0.0027560361009974763
9063587174.348698	0.0027669659447629802
9103647294.589178	0.0027692118039524816
9143707414.829659	0.002762824263568661
9183767535.070139	0.002747958232705706
9223827655.310621	0.002724869855679352
9263887775.551102	0.0026939121481208386
9303947895.791582	0.0026555294451550133
9344008016.032064	0.00261025076630115
9384068136.272545	0.0025586822160076376
9424128256.513025	0.0025014985495407497
9464188376.753506	0.002439434041240724
9504248496.993988	0.002373272796042227
9544308617.234468	0.0023038386458757547
9584368737.474949	0.0022319847704784525
9624428857.715431	0.002158583177687381
9664488977.955912	0.002084514171952535
9704549098.196392	0.0020106559320960758
9744609218.436872	0.0019378743107482824
9784669338.677355	0.001867012958858783
9824729458.917835	0.0017988838696004112
9864789579.158316	0.0017342584271606075
9904849699.398796	0.0016738590375720808
9944909819.639278	0.0016183514109975234
9984969939.879759	0.0015683375577917596
10025030060.12024	0.0015243495541729002
10065090180.360722	0.0014868441273256378
10105150300.601202	0.001456198104061183
10145210420.841682	0.0014327047615554191
10185270541.082163	0.0014165711129460953
10225330661.322645	0.0014079161544535064
10265390781.563126	0.0014067700939797774
10305450901.803606	0.001413074573653738
10345511022.044088	0.0014266838903898161
10385571142.284569	0.0014473672091490487
10425631262.52505	0.0014748117532321597
10465691382.76553	0.0015086269446785085
10505751503.006012	0.0015483494558498683
10545811623.246492	0.0015934491207766034
10585871743.486973	0.0016433356421346917
10625931863.727455	0.0016973660171545368
10665991983.967936	0.001754852593721932
10706052104.208416	0.0018150716568195284
10746112224.448896	0.0018772724356683815
10786172344.689379	0.0019406864138335007
10826232464.92986	0.002004536818474551
10866292585.17034	0.002068048161111289
10906352705.41082	0.0021304557009064287
10946412825.651302	0.002191014702634595
10986472945.891783	0.0022490093651949448
11026533066.132263	0.0023037613026344805
11066593186.372746	0.002354637467988945
11106653306.613226	0.0024010574205484336
11146713426.853706	0.002442499849088803
11186773547.094187	0.0024785082767995025
11226833667.33467	0.0025086958876877497
11266893787.57515	0.0025327494287437306
11306953907.81563	0.002550432156722773
11347014028.056112	0.00256158581268219
11387074148.296593	0.0025661316210918105
11427134268.537073	0.0025640703231633206
